新冠肺炎 新型冠状病毒肺炎
世卫组织 世界卫生组织
资金中心 中央国家机关住房资金管理中心
2020年药品目录 国家基本医疗保险、工伤保险和生育保险药品目录（2020年）
Hopkins或JHU 约翰斯·霍普金斯大学
调定点 体温调节中枢
为动态的 动态平衡
甲亢 甲状腺功能亢进症
虫草 急性肾盂肾炎
WBC 白细胞
淋病 尿路感染
STB 肝功
百里酚 麝香草酚
T细胞 淋巴细胞
WP小体 内皮细胞
PNS 中枢神经系统
PBL 外周血淋巴细胞
上感 下呼吸道
米索 晚期妊娠
N2S 利托那韦
通知 中药饮片
商品名舒麦特 药品说明书
MERS 中东呼吸综合征
国境口岸 中华人民共和国国境卫生检疫法
IPS变化而来的艺术图案 中国科学院上海巴斯德研究所
病毒病所 中国疾病预防控制中心病毒病预防控制所
华农 华南农业大学
军事医学科学院 中国人民解放军军事医学科学院
东北军工专 武汉理工大学
指导原则 职业暴露
流感病毒 流行性感冒病毒
B站 武汉加油
渔护署 香港渔农自然护理署
为P01 禽流感病毒
流感 流行性感冒
VZV 水痘
流腮 流行性腮腺炎
国联 国际联盟
华盛顿 华盛顿哥伦比亚特区
UNICEF 联合国儿童基金会
阿拉木图会议 初级卫生保健
UNDP 联合国开发计划署
塞拉利昂 塞拉利昂
联合国安理会或安全理事会 联合国安全理事会
美国 联合国安全理事会常任理事国
WHO 世界卫生组织宪章
为刚果布 刚果共和国
安哥拉 安哥拉
贝宁 贝宁
博茨瓦纳 博茨瓦纳
布隆迪 布隆迪
佛得角 佛得角
中非 中非
刚果金 刚果民主共和国
人阵 科特迪瓦
人阵党 厄立特里亚
几内亚 几内亚
几佛独立党 几内亚比绍
肯盟 肯尼亚
莱索托 莱索托
利比里亚 利比里亚共和国
马达加斯加 马达加斯加
马拉维 马拉维共和国
马里 马里
毛里塔尼亚 毛里塔尼亚
毛里求斯 毛里求斯
莫桑比克 莫桑比克
纳米比亚 纳米比亚
非洲法郎 尼日尔
尼日利亚 尼日利亚
卢旺达 卢旺达
圣多美和普林西比 圣多美和普林西比
塞内加尔 塞内加尔
南非 南非共和国
乌干达 乌干达
坦桑尼亚 坦桑尼亚
民独党 赞比亚
津巴布韦 津巴布韦
巴哈马 巴哈马
UDP 伯利兹
玻利维亚 玻利维亚
哥伦比亚 哥伦比亚
哥斯达黎加 哥斯达黎加
古巴 古巴
多米尼加 多米尼加共和国
厄瓜多尔 厄瓜多尔
萨尔瓦多 萨尔瓦多
海地 海地
洪都拉斯 洪都拉斯
JLP 牙买加
墨西哥 墨西哥
尼加拉瓜 尼加拉瓜
巴拿马 巴拿马
巴拉圭 巴拉圭
波多黎各 波多黎各
圣基茨和尼维斯 圣基茨和尼维斯
特多 特立尼达和多巴哥
乌拉圭 乌拉圭
委内瑞拉 委内瑞拉
孟加拉国 孟加拉国
安道尔 安道尔
亚美尼亚 亚美尼亚
比利时 比利时
波黑 波斯尼亚和黑塞哥维那
保加利亚 保加利亚
克罗地亚 克罗地亚
爱沙尼亚 爱沙尼亚
社工党 匈牙利
冰岛 冰岛
拉脱维亚 拉脱维亚
立陶宛 立陶宛
卢森堡 卢森堡
马耳他 马耳他
摩纳哥 摩纳哥
葡萄牙 葡萄牙
摩尔多瓦 摩尔多瓦
圣马力诺 圣马力诺
斯洛伐克 斯洛伐克
斯洛文尼亚 斯洛文尼亚
塞尔维亚 塞尔维亚
西班牙 西班牙
塔吉克斯坦 塔吉克斯坦
北马其顿 北马其顿
土耳其 土耳其
乌兹别克斯坦 乌兹别克斯坦
阿富汗Afghanistan 阿富汗伊斯兰共和国
塞浦路斯 塞浦路斯
吉布提 吉布提
黎巴嫩 黎巴嫩
摩洛哥 摩洛哥
阿曼 阿曼
巴基斯坦 巴基斯坦
阿联酋 卡塔尔
沙特 沙特阿拉伯
索马里 索马里
叙利亚 叙利亚
突尼斯 突尼斯
斐济 斐济
基里巴斯 基里巴斯
大马 马来西亚
马绍尔群岛 马绍尔群岛
蒙古 蒙古国
帕劳 帕劳
字 帕劳
巴布亚新几内亚 巴布亚新几内亚
新加坡 新加坡
所元 所罗门群岛
汤加 汤加
瓦努阿图 瓦努阿图共和国
缅栀子蛋黄花 瓦努阿图共和国
萨摩亚 萨摩亚
列支敦士登 列支敦士登
马耳他骑士团 耶路撒冷、罗得岛及马耳他圣约翰主权军事医院骑士团
巴勒斯坦 巴勒斯坦
斯坦福 旧金山
专门机关 联合国宪章
台 台湾
中国台北 中国台北
诺大 诺丁汉大学
UCL 伦敦大学
艾滋病 艾滋病
银监会 银行
内地会 新教
农业办公室 老城区
Oxon 英格兰
水电站 水力发电站
东亚述教会 东正教
公教 天主教
环境署 联合国环境规划署
劳工组织 国际劳工组织
WIPO 世界知识产权组织
IMO 世界气象组织
世贸组织WTO 世界贸易组织
为CERN 欧洲核子研究组织
为ISO 国际标准化组织
IWC IWC
MSC 地中海航运公司
ST 意法半导体
AMS 国际空间站
二战 第二次世界大战
NASA 阿波罗11号
苏联 苏联
星系 天文
光伏 太阳能电池
NASAns 美国航空航天局
RKA 俄罗斯联邦航天局
欧空局或ESA 欧洲航天局
JAXA 日本宇宙航空研究开发机构
轨道器 航天飞机
AMS 国际空间站
二战 第二次世界大战
NASA 阿波罗11号
苏联 苏联
AMS 国际空间站
二战 第二次世界大战
NASA 阿波罗11号
苏联 苏联
星系 天文
AMS 国际空间站
AMS 国际空间站
二战 第二次世界大战
NASA 阿波罗11号
苏联 苏联
星系 天文
